date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
2020/9/5,0,0,0,0,0,0,0,0,0
2020/9/6,0,0,0,0,0,0,0,0,0
2020/9/7,0,0,0,0,0,0,0,0,0
2020/9/8,0,0,0,0,0,0,0,0,0
2020/9/9,0,0,0,0,0,0,0,0,0
2020/9/10,0,0,0,0,0,0,0,0,0
2020/9/11,0,0,0,0,0,0,0,0,0
2020/9/12,0,0,0,0,0,0,0,0,0
2020/9/13,0,0,0,0,0,0,0,0,0
2020/9/14,1,1,1,1,1,0,0,0,0
2020/9/15,0,0,0,0,0,0,0,0,0
2020/9/16,0,0,0,0,0,0,0,0,0
2020/9/17,0,0,0,0,0,0,0,0,0
2020/9/18,1,0,1,0,1,0,0,0,0
2020/9/19,1,0,1,0,1,0,0,0,0
2020/9/20,0,0,0,0,0,0,0,0,0
2020/9/21,0,0,0,0,0,0,0,0,0
2020/9/22,1,0,1,0,1,0,0,0,0
2020/9/23,1,0,2,0,2,0,0,0,0
2020/9/24,0,0,0,0,0,0,0,0,0
2020/9/25,0,0,0,0,0,0,0,0,0
2020/9/26,1,1,1,1,1,0,0,0,0
2020/9/27,1,0,1,0,1,0,0,0,0
2020/9/28,1,0,1,0,1,0,0,0,0
2020/9/29,0,0,0,0,0,0,0,0,0
2020/9/30,0,0,0,0,0,0,0,0,0
2020/10/1,0,0,0,0,0,0,0,0,0
2020/10/2,2,0,3,1,3,0,0,0,0
2020/10/3,1,0,1,0,1,0,0,0,0
2020/10/4,2,0,2,0,2,0,0,0,0
2020/10/5,3,1,3,1,3,0,0,0,0
2020/10/6,1,1,1,1,1,0,0,0,0
2020/10/7,3,1,3,1,3,0,0,0,0
2020/10/8,5,1,5,1,5,0,0,0,0
2020/10/9,4,1,4,1,4,0,0,0,0
2020/10/10,3,1,3,1,3,0,0,0,0
2020/10/11,3,1,3,1,3,0,0,0,0
2020/10/12,3,3,3,3,3,0,0,0,0
2020/10/13,4,3,4,3,4,0,0,0,0
2020/10/14,4,1,4,1,4,0,0,0,0
2020/10/15,2,1,3,1,3,0,0,0,0
2020/10/16,6,1,6,1,6,0,0,0,0
2020/10/17,6,3,6,3,6,0,0,0,0
2020/10/18,2,0,2,0,2,0,0,0,0
2020/10/19,7,3,7,3,7,0,0,0,0
2020/10/20,4,3,4,3,4,0,0,0,0
2020/10/21,7,4,7,4,7,0,0,0,0
2020/10/22,11,4,11,4,11,0,0,0,0
2020/10/23,9,5,9,5,9,0,0,0,0
2020/10/24,3,0,3,0,3,0,0,0,0
2020/10/25,6,0,6,0,6,0,0,0,0
2020/10/26,2,1,2,1,2,0,0,0,0
2020/10/27,2,1,2,1,2,0,0,0,0
2020/10/28,10,4,10,4,10,0,0,0,0
2020/10/29,4,3,4,3,4,0,0,0,0
2020/10/30,3,1,3,1,3,0,0,0,0
2020/10/31,5,3,5,3,5,0,0,0,0
2020/11/1,3,3,4,4,4,0,0,0,0
2020/11/2,2,1,5,3,5,0,0,0,0
2020/11/3,2,0,8,3,8,0,0,0,0
2020/11/4,1,0,7,5,7,0,0,0,0
2020/11/5,6,4,6,5,6,0,0,0,3
2020/11/6,2,1,4,3,4,0,0,0,3
2020/11/7,3,2,2,2,2,0,0,0,3
2020/11/8,4,2,4,0,4,0,0,0,1
2020/11/9,8,5,1,1,1,0,0,0,3
2020/11/10,6,5,2,2,2,0,0,0,5
2020/11/11,2,1,2,1,2,0,0,0,3
2020/11/12,1,1,0,0,0,0,0,0,2
2020/11/13,1,1,3,1,3,0,0,0,2
2020/11/14,2,1,9,4,9,0,0,0,2
2020/11/15,3,1,3,0,3,0,0,0,1
2020/11/16,4,0,3,2,3,0,0,0,2
2020/11/17,5,3,3,1,3,0,0,0,3
2020/11/18,4,2,5,2,5,0,0,0,2
2020/11/19,4,1,4,2,4,0,0,0,1
2020/11/20,3,1,3,1,3,0,0,0,2
2020/11/21,3,1,4,1,4,0,0,0,2
2020/11/22,3,1,4,2,4,0,0,0,1
2020/11/23,2,2,4,3,4,0,0,0,4
2020/11/24,4,2,0,0,0,0,0,0,8
2020/11/25,4,3,4,2,4,0,0,0,3
2020/11/26,3,1,3,1,3,0,0,0,3
2020/11/27,2,1,2,1,2,0,0,0,4
2020/11/28,4,3,5,1,5,0,0,0,4
2020/11/29,3,2,6,2,6,0,0,0,3
2020/11/30,3,0,6,1,6,0,0,0,2
2020/12/1,2,0,0,0,0,0,0,0,2
2020/12/2,2,2,6,2,6,0,0,0,4
2020/12/3,11,1,1,0,1,0,0,0,3
2020/12/4,0,0,1,0,1,0,0,0,0
2020/12/5,4,1,4,0,4,0,0,0,1
2020/12/6,3,0,2,0,2,0,0,0,0
2020/12/7,2,0,4,0,4,0,0,0,10
2020/12/8,4,2,6,3,6,0,0,0,3
2020/12/9,5,0,3,0,3,0,0,0,1
2020/12/10,3,1,8,2,8,0,0,0,2
2020/12/11,6,1,6,0,6,0,0,0,1
2020/12/12,9,2,6,2,6,0,0,0,7
2020/12/13,4,0,2,0,2,0,0,0,1
2020/12/14,4,1,1,0,1,0,0,0,8
2020/12/15,3,0,5,1,5,0,0,0,4
2020/12/16,7,2,3,0,3,0,0,0,1
2020/12/17,3,1,4,1,4,0,0,0,1
2020/12/18,0,0,2,1,2,0,0,0,0
2020/12/19,1,0,4,0,4,0,0,0,1
2020/12/20,4,1,4,1,4,0,0,0,2
2020/12/21,1,0,2,1,2,0,0,0,11
2020/12/22,1,1,5,1,5,0,0,0,14
2020/12/23,5,2,3,2,3,0,0,0,3
2020/12/24,2,2,10,3,10,0,0,0,26
2020/12/25,3,1,4,1,4,0,0,0,2
2020/12/26,2,1,8,1,8,0,0,0,2
2020/12/27,1,1,1,0,1,0,0,0,6
2020/12/28,3,0,9,2,9,0,0,0,6
2020/12/29,2,0,3,0,3,0,0,0,1
2020/12/30,6,1,9,1,9,0,0,0,3
2020/12/31,8,0,7,2,7,0,0,0,5
2021/1/1,3,0,12,1,12,0,0,0,3
2021/1/2,9,1,9,1,9,0,0,0,2
2021/1/3,11,1,8,1,8,0,0,0,4
2021/1/4,7,0,10,1,10,0,0,0,2
2021/1/5,11,3,10,2,10,0,0,0,4
2021/1/6,1,1,17,3,17,0,0,0,6
2021/1/7,8,1,6,2,6,0,0,0,2
2021/1/8,16,3,12,1,12,0,0,0,3
2021/1/9,5,0,8,1,8,0,0,0,3
2021/1/10,9,1,12,3,12,0,0,0,6
2021/1/11,4,1,3,1,3,0,0,0,2
2021/1/12,4,0,10,1,10,0,0,0,2
2021/1/13,4,2,9,4,9,0,0,0,5
2021/1/14,15,2,13,3,13,0,0,0,5
2021/1/15,8,0,14,3,14,0,0,0,2
2021/1/16,8,1,15,2,15,0,0,0,2
2021/1/17,7,1,11,3,11,0,0,0,1
2021/1/18,4,0,16,1,16,0,0,0,2
2021/1/19,14,1,10,2,10,0,0,0,2
2021/1/20,11,1,20,5,20,0,0,0,4
2021/1/21,12,2,15,5,15,0,0,0,2
2021/1/22,18,4,16,3,16,0,0,0,2
2021/1/23,7,0,15,1,15,0,0,0,1
2021/1/24,11,2,11,1,11,0,0,0,3
2021/1/25,11,3,16,4,16,0,0,0,2
2021/1/26,11,2,20,2,20,0,0,0,4
2021/1/27,7,0,16,6,16,0,0,0,2
2021/1/28,10,2,13,0,13,0,0,0,3
2021/1/29,16,5,19,2,19,0,0,0,4
2021/1/30,13,3,13,2,13,0,0,0,2
2021/1/31,14,2,18,2,18,0,0,0,5
2021/2/1,10,0,15,2,15,0,0,0,1
2021/2/2,21,0,14,1,14,0,0,0,3
2021/2/3,18,4,20,3,20,0,0,0,2
2021/2/4,17,3,22,2,22,0,0,0,2
2021/2/5,19,2,8,2,8,0,0,0,2
2021/2/6,12,3,16,1,16,0,0,0,2
2021/2/7,15,3,12,0,12,0,0,0,1
